"","Data","Municipio","Campanha","Modulo","Transecto","Parcela","Ponto","Tipo_de_Parcela","Coordenadas_UTM_.X.","Coordenadas_UTM_.Y.","Ordem","Familia","Subfamilia","Especie","Tipo_Amostragem","Num._Ind._.Colonias.Encontros.","Num._ID_.campo.","Instituicao_para_Tombamento","Tombo","OBS"
"77","6/9/2011","""Ilha de Búfalos, Jaci Paraná, Porto Velho, RO""",5,"IB","T2","P1",0,"Terrestre",8988015,334967,NA,"Rhinotermitidae","","Heterotermes tenuis",NA,1,"1Aa","MZUSP","","#Interior de talo de palmeira"
"78","3/3/2012","""Ilha de Búfalos, Jaci Paraná, Porto Velho, RO""",7,"IB","T2","P1",0,"Terrestre",8988015,334967,NA,"Rhinotermitidae","","Heterotermes tenuis",NA,1,"1Aa","MZUSP","","#Interior de tronquinho e graveto podres"
"79","13/09/10","""Ilha de Búfalos, Jaci Paraná, Porto Velho, RO""",1,"IB","T1","P1*",0,"Terrestre",8988588,334131,NA,"Rhinotermitidae","","Heterotermes tenuis",NA,1,"1Ad","MZUSP","","#Monte de terra na base de babaçu, aparentemente ninho de Cornitermes ou Syntermes"
"80","13/09/10","""Ilha de Búfalos, Jaci Paraná, Porto Velho, RO""",1,"IB","T1","P1*",0,"Terrestre",8988588,334131,NA,"Rhinotermitidae","","Heterotermes tenuis",NA,1,"3Ac","MZUSP","","#Nasutitermes e Apico em galeria de baixo de tronco e o restante em terra abaixo de tronco"
"81","13/09/10","""Ilha de Búfalos, Jaci Paraná, Porto Velho, RO""",1,"IB","T1","P2*",500,"Terrestre",8988935,334438,NA,"Rhinotermitidae","","Heterotermes tenuis",NA,1,"4Aa","MZUSP","","#Forrageando no solo"
"82","14/01/11","""Ilha de Búfalos, Jaci Paraná, Porto Velho, RO""",2,"IB","T2","P3",1000,"Terrestre",8988753,335582,NA,"Rhinotermitidae","","Heterotermes tenuis",NA,1,"3Ba","MZUSP","","#Em tronco caído"
"83","1/3/2012","""Ilha de Búfalos, Jaci Paraná, Porto Velho, RO""",7,"IB","T2","P3",1000,"Terrestre",8988753,335582,NA,"Rhinotermitidae","","Heterotermes tenuis",NA,1,"3Cb","MZUSP","","#Interior de tronco"
"84","1/4/2011","""Ilha de Búfalos, Jaci Paraná, Porto Velho, RO""",3,"IB","T2","P4",2000,"Terrestre",8989521,336332,NA,"Rhinotermitidae","","Heterotermes tenuis",NA,1,"3Aa","MZUSP","","#No solo"
"85","1/3/2012","""Ilha de Búfalos, Jaci Paraná, Porto Velho, RO""",7,"IB","T2","P4",2000,"Terrestre",8989521,336332,NA,"Rhinotermitidae","","Heterotermes tenuis",NA,1,"1Aa","MZUSP","","#Caminho externo de graveto"
"86","1/3/2012","""Ilha de Búfalos, Jaci Paraná, Porto Velho, RO""",7,"IB","T2","P4",2000,"Terrestre",8989521,336332,NA,"Rhinotermitidae","","Heterotermes tenuis",NA,1,"4Aa","MZUSP","","#Base de tronco morto em pé, e em galerias no troco. Heterotermes e Dolichorhino em folha de palmeira"
"87","22/11/11","""Ilha das Pedras, Jaci Paraná, Porto Velho, RO""",6,"IP","T2","P1",0,"Terrestre",8985209,323016,NA,"Rhinotermitidae","","Heterotermes tenuis",NA,1,"2Bb","MZUSP","","#Interior de toco de palmeira"
"88","1/6/2012","""Ilha das Pedras, Jaci Paraná, Porto Velho, RO""",8,"IP","T2","P3",990,"Terrestre",8985957,322373,NA,"Rhinotermitidae","","Heterotermes tenuis",NA,1,"1Ca","MZUSP","","#Interior de graveto"
